Place,Population,Per Capita Income,Poverty Count
"Rowan County, North Carolina",140296,25630,21660
"Rutherford County, North Carolina",66599,23978,11712
"Sampson County, North Carolina",63385,22875,13059
"Scotland County, North Carolina",35076,19052,8897
"Stanly County, North Carolina",61588,25863,7659
"Stokes County, North Carolina",45781,26279,6229
"Surry County, North Carolina",71971,25500,11651
"Swain County, North Carolina",14260,23139,2455
"Transylvania County, North Carolina",33775,29549,4679
"Tyrrell County, North Carolina",4095,19743,749
"Union County, North Carolina",231053,36362,18784
"Vance County, North Carolina",44479,23049,9138
"Wake County, North Carolina",1069079,40982,95198
"Warren County, North Carolina",19898,23432,3751
"Washington County, North Carolina",11922,23431,2612
"Watauga County, North Carolina",54925,26882,12415
"Wayne County, North Carolina",123603,25277,24383
"Wilkes County, North Carolina",68469,25202,11929
"Wilson County, North Carolina",81435,24790,16217
"Yadkin County, North Carolina",37602,25218,5731
"Yancey County, North Carolina",17760,24487,2883
"Adams County, North Dakota",2311,33458,195
"Barnes County, North Dakota",10706,35491,1155
"Benson County, North Dakota",6873,21707,2174
"Billings County, North Dakota",922,42071,86
"Bottineau County, North Dakota",6502,35655,591
"Bowman County, North Dakota",3148,34880,238
"Burke County, North Dakota",2182,39350,127
"Burleigh County, North Dakota",94793,38804,7392
"Cass County, North Dakota",176975,37620,18360
"Cavalier County, North Dakota",3803,43457,406
"Dickey County, North Dakota",4938,33539,247
"Divide County, North Dakota",2335,40184,201
"Dunn County, North Dakota",4395,42691,347
"Eddy County, North Dakota",2301,35639,240
"Emmons County, North Dakota",3310,33088,322
"Foster County, North Dakota",3260,35299,229
"Golden Valley County, North Dakota",1845,33111,134
"Grand Forks County, North Dakota",70224,32153,10662
"Grant County, North Dakota",2353,34786,297
"Griggs County, North Dakota",2409,34882,182
"Hettinger County, North Dakota",2547,34181,228
"Kidder County, North Dakota",2466,31000,262
"LaMoure County, North Dakota",4125,37220,592
"Logan County, North Dakota",1872,32619,130
"McHenry County, North Dakota",5878,36980,483
"McIntosh County, North Dakota",2597,32131,245
"McKenzie County, North Dakota",13334,36690,1490
"McLean County, North Dakota",9584,36428,751
"Mercer County, North Dakota",8462,39025,591
"Morton County, North Dakota",30868,39384,2240
"Mountrail County, North Dakota",10321,36364,1072
"Nelson County, North Dakota",2894,34491,325
"Oliver County, North Dakota",1842,35565,147
"Pembina County, North Dakota",6947,36251,498
"Pierce County, North Dakota",4126,30756,663
"Ramsey County, North Dakota",11583,34041,1389
"Ransom County, North Dakota",5314,34665,331
"Renville County, North Dakota",2442,34452,87
"Richland County, North Dakota",16254,31346,1649
"Rolette County, North Dakota",14511,20484,3863
"Sargent County, North Dakota",3872,37105,159
"Sheridan County, North Dakota",1409,32627,172
"Sioux County, North Dakota",4373,15649,1641
"Slope County, North Dakota",742,33798,56
"Stark County, North Dakota",31081,38103,2660
"Steele County, North Dakota",1744,39011,100
"Stutsman County, North Dakota",20965,31991,2352
"Towner County, North Dakota",2224,37239,227
"Traill County, North Dakota",8008,33321,489
"Walsh County, North Dakota",10751,34194,958
"Ward County, North Dakota",68812,34923,6319
"Wells County, North Dakota",3976,35134,336
"Williams County, North Dakota",35208,44235,2108
"Adams County, Ohio",27776,22366,5666
"Allen County, Ohio",103175,26761,13819
"Ashland County, Ohio",53536,26017,7048
"Ashtabula County, Ohio",97830,24265,18825
"Athens County, Ohio",65917,22040,16942
"Auglaize County, Ohio",45729,31198,3773
"Belmont County, Ohio",68024,27580,7900
"Brown County, Ohio",43572,26696,6557
"Butler County, Ohio",380019,31921,46018
"Carroll County, Ohio",27332,29518,3306
"Champaign County, Ohio",38845,27722,3845
"Clark County, Ohio",134726,27066,19570
"Clermont County, Ohio",204275,34390,18162
"Clinton County, Ohio",41957,26690,6002
"Columbiana County, Ohio",103190,26469,14196
"Coshocton County, Ohio",36585,23432,5181
"Crawford County, Ohio",41821,25744,6118
"Cuyahoga County, Ohio",1247451,33114,213209
"Darke County, Ohio",51513,27855,5331
"Defiance County, Ohio",38160,29816,3809
"Delaware County, Ohio",201135,48117,9530
"Erie County, Ohio",74780,32790,8608
"Fairfield County, Ohio",154457,32021,13930
"Fayette County, Ohio",28620,26079,4551
"Franklin County, Ohio",1290360,33998,197950
"Fulton County, Ohio",42253,29600,3263
"Gallia County, Ohio",30088,24130,6055
"Geauga County, Ohio",93843,42958,5344
"Greene County, Ohio",166502,35833,18252
"Guernsey County, Ohio",39111,24742,7664
"Hamilton County, Ohio",813589,35570,125456
"Hancock County, Ohio",75837,32797,7937
"Hardin County, Ohio",31425,23383,4029
"Harrison County, Ohio",15211,24940,2380
"Henry County, Ohio",27208,28830,2246
"Highland County, Ohio",43016,23543,8213
"Hocking County, Ohio",28390,25588,3681
"Holmes County, Ohio",43901,23404,4283
"Huron County, Ohio",58339,26133,7580
"Jackson County, Ohio",32450,23254,5983
"Jefferson County, Ohio",66371,26391,11207
"Knox County, Ohio",61481,26390,7593
"Lake County, Ohio",229954,34409,18325
"Lawrence County, Ohio",60184,24562,10712
"Licking County, Ohio",173750,31617,17750
"Logan County, Ohio",45316,29424,5090
"Lorain County, Ohio",307670,30928,40189
"Lucas County, Ohio",431102,29226,78848
"Madison County, Ohio",44135,29164,3518
"Mahoning County, Ohio",229961,28378,39109
"Marion County, Ohio",65299,24484,8790
"Medina County, Ohio",177980,37788,10627
"Meigs County, Ohio",23078,24899,4483
"Mercer County, Ohio",40884,29765,2591
"Miami County, Ohio",105371,31254,9521
"Monroe County, Ohio",13942,26476,2356
"Montgomery County, Ohio",531670,30034,85528
"Morgan County, Ohio",14640,22937,2774
"Morrow County, Ohio",35043,28257,3363
"Muskingum County, Ohio",86131,25148,13396
"Noble County, Ohio",14416,24440,1874
"Ottawa County, Ohio",40632,34560,4044
"Paulding County, Ohio",18809,28300,1843
"Perry County, Ohio",36022,23484,6783
"Pickaway County, Ohio",57762,27760,6431
"Pike County, Ohio",28000,24318,5161
"Portage County, Ohio",162511,30054,19808
"Preble County, Ohio",41093,28890,4100
"Putnam County, Ohio",33911,31743,2557
"Richland County, Ohio",121100,25585,15321
"Ross County, Ohio",76948,24913,12307
"Sandusky County, Ohio",59029,27319,6706
"Scioto County, Ohio",76040,23719,16330
"Seneca County, Ohio",55351,27100,6663
"Shelby County, Ohio",48749,29381,4240
"Stark County, Ohio",372404,29495,49165
"Summit County, Ohio",541334,33606,70281
"Trumbull County, Ohio",200367,26935,33883
"Tuscarawas County, Ohio",92335,27057,11645
"Union County, Ohio",56707,37384,3143
"Van Wert County, Ohio",28261,27115,3090
"Vinton County, Ohio",13083,21781,2447
"Warren County, Ohio",229132,41792,10071
"Washington County, Ohio",60426,28782,8337
"Wayne County, Ohio",116099,27884,12618
"Williams County, Ohio",36816,27124,3966
"Wood County, Ohio",130150,32431,15936
"Wyandot County, Ohio",22000,28541,1611
"Adair County, Oklahoma",22220,17026,6124
"Alfalfa County, Oklahoma",5847,27615,433
"Atoka County, Oklahoma",13823,20443,2538
"Beaver County, Oklahoma",5377,24514,599
"Beckham County, Oklahoma",22268,24480,3363
"Blaine County, Oklahoma",9556,25851,981
"Bryan County, Oklahoma",46457,23979,7728
"Caddo County, Oklahoma",29242,23167,5274
"Canadian County, Oklahoma",140455,30755,11389
"Carter County, Oklahoma",48319,26094,7637
"Cherokee County, Oklahoma",48664,22161,10362
"Choctaw County, Oklahoma",14807,21277,4032
"Cimarron County, Oklahoma",2174,29115,363
"Cleveland County, Oklahoma",279274,31571,32098
"Coal County, Oklahoma",5581,24055,1207
"Comanche County, Oklahoma",121762,26449,17964
"Cotton County, Oklahoma",5858,23564,1037
"Craig County, Oklahoma",14390,21318,2503
"Creek County, Oklahoma",71427,26044,10555
"Custer County, Oklahoma",29152,26520,5000
"Delaware County, Oklahoma",42433,24070,7690
"Dewey County, Oklahoma",4922,28310,799
"Ellis County, Oklahoma",4015,28195,634
"Garfield County, Oklahoma",61898,28333,8279
"Garvin County, Oklahoma",27835,24880,4166
"Grady County, Oklahoma",55071,30242,6253
"Grant County, Oklahoma",4397,28815,293
"Greer County, Oklahoma",5861,18907,975
"Harmon County, Oklahoma",2710,26045,383
"Harper County, Oklahoma",3760,24130,554
"Haskell County, Oklahoma",12687,22074,2391
"Hughes County, Oklahoma",13372,20572,2465
"Jackson County, Oklahoma",25063,25555,4204
"Jefferson County, Oklahoma",6158,24313,1283
"Johnston County, Oklahoma",11064,21197,2238
"Kay County, Oklahoma",44402,26189,7517
"Kingfisher County, Oklahoma",15694,31724,1865
"Kiowa County, Oklahoma",8886,21482,2072
"Latimer County, Oklahoma",10348,25240,1859
"Le Flore County, Oklahoma",50026,20902,10082
"Lincoln County, Oklahoma",34895,25255,4778
"Logan County, Oklahoma",46683,31105,6302
"Love County, Oklahoma",10063,22036,1491
"McClain County, Oklahoma",39247,32259,3021
"McCurtain County, Oklahoma",33016,20671,7392
"McIntosh County, Oklahoma",19725,23268,4027
"Major County, Oklahoma",7692,28609,942
"Marshall County, Oklahoma",16505,22781,2755
"Mayes County, Oklahoma",41044,24472,7317
"Murray County, Oklahoma",13946,26943,2089
"Muskogee County, Oklahoma",68736,23826,13641
"Noble County, Oklahoma",11335,28011,1207
"Nowata County, Oklahoma",10322,22930,1605
"Okfuskee County, Oklahoma",12067,18437,2889
"Oklahoma County, Oklahoma",787216,31609,123116
"Okmulgee County, Oklahoma",38749,23431,7230
"Osage County, Oklahoma",47226,25473,7136
"Ottawa County, Oklahoma",31454,20814,6302
"Pawnee County, Oklahoma",16412,24303,2567
"Payne County, Oklahoma",81815,24057,19739
"Pittsburg County, Oklahoma",44146,25524,7057
"Pontotoc County, Oklahoma",38355,26187,5414
"Pottawatomie County, Oklahoma",72154,24178,11177
"Pushmataha County, Oklahoma",11128,22435,2244
"Roger Mills County, Oklahoma",3667,30866,626
"Rogers County, Oklahoma",91353,32148,8865
"Seminole County, Oklahoma",24832,20666,4910
"Sequoyah County, Oklahoma",41709,20384,8851
"Stephens County, Oklahoma",43647,25769,6100
"Texas County, Oklahoma",20805,22003,3988
"Tillman County, Oklahoma",7413,21974,1402
"Tulsa County, Oklahoma",646419,32044,95237
"Wagoner County, Oklahoma",78958,29415,8116
"Washington County, Oklahoma",51886,30847,6738
"Washita County, Oklahoma",11225,26265,1583
"Woods County, Oklahoma",9043,27427,1077
"Woodward County, Oklahoma",20727,28915,2253
"Baker County, Oregon",16019,28700,1921
"Benton County, Oregon",91107,33817,16319
"Clackamas County, Oregon",410463,41492,32603
"Clatsop County, Oregon",39102,29757,3864
"Columbia County, Oregon",51375,31883,5928
"Coos County, Oregon",63686,27582,10111
"Crook County, Oregon",23011,27007,3082
"Curry County, Oregon",22650,30021,2796
"Deschutes County, Oregon",186251,35507,19976
"Douglas County, Oregon",109114,26478,15801
"Gilliam County, Oregon",1878,26482,194
"Grant County, Oregon",7189,27367,1283
"Harney County, Oregon",7267,26370,751
"Hood River County, Oregon",23209,34926,1419
"Jackson County, Oregon",216574,30250,33234
"Jefferson County, Oregon",23607,23987,4017
"Josephine County, Oregon",86251,25167,15384
"Klamath County, Oregon",66921,25880,12853
"Lake County, Oregon",7837,24241,1332
"Lane County, Oregon",373340,29705,64457
"Lincoln County, Oregon",48547,27861,7794
"Linn County, Oregon",125048,27345,16376
"Malheur County, Oregon",30412,18974,5808
"Marion County, Oregon",339641,27338,46970
"Morrow County, Oregon",11303,23682,1632
"Multnomah County, Oregon",804606,39245,108947
"Polk County, Oregon",83037,29440,10263
"Sherman County, Oregon",1642,31615,220
"Tillamook County, Oregon",26389,27659,3365
"Umatilla County, Oregon",77129,24444,12926
"Union County, Oregon",26337,27646,3573
"Wallowa County, Oregon",7004,30485,941
"Wasco County, Oregon",26130,27445,2969
"Washington County, Oregon",589481,39679,52106
"Wheeler County, Oregon",1415,21702,195
"Yamhill County, Oregon",104831,31314,12117
"Adams County, Pennsylvania",102470,31590,7622
"Allegheny County, Pennsylvania",1221744,38709,138335
"Armstrong County, Pennsylvania",65867,27715,7215
"Beaver County, Pennsylvania",165833,31305,17994
"Bedford County, Pennsylvania",48337,26078,5679
"Berks County, Pennsylvania",418025,31571,48573
"Blair County, Pennsylvania",123157,28119,17648
"Bradford County, Pennsylvania",60963,28392,7643
"Bucks County, Pennsylvania",626806,45849,36275
"Butler County, Pennsylvania",186899,37811,14957
"Cambria County, Pennsylvania",133009,26008,19466
"Cameron County, Pennsylvania",4611,24528,698
"Carbon County, Pennsylvania",63887,29202,7328
"Centre County, Pennsylvania",161960,30753,26030
"Chester County, Pennsylvania",519560,50927,32620
"Clarion County, Pennsylvania",38715,25157,6107
"Clearfield County, Pennsylvania",79908,24403,10777
"Clinton County, Pennsylvania",38915,25794,5777
"Columbia County, Pennsylvania",65715,26787,9150
"Crawford County, Pennsylvania",85665,26582,10855
"Cumberland County, Pennsylvania",249328,37500,16370
"Dauphin County, Pennsylvania",275632,33639,33354
"Delaware County, Pennsylvania",564554,40026,54356
"Elk County, Pennsylvania",30340,29772,2836
"Erie County, Pennsylvania",273835,28306,41793
"Fayette County, Pennsylvania",131302,27368,21911
"Forest County, Pennsylvania",7313,15245,654
"Franklin County, Pennsylvania",154147,31221,14050
"Fulton County, Pennsylvania",14506,27396,1624
"Greene County, Pennsylvania",36870,27783,4482
"Huntingdon County, Pennsylvania",45369,25746,4917
"Indiana County, Pennsylvania",85032,26509,12898
"Jefferson County, Pennsylvania",43846,25509,6511
"Juniata County, Pennsylvania",24624,26239,2637
"Lackawanna County, Pennsylvania",210652,29899,29788
"Lancaster County, Pennsylvania",540999,32194,53659
"Lawrence County, Pennsylvania",86727,28926,11670
"Lebanon County, Pennsylvania",139729,29130,14715
"Lehigh County, Pennsylvania",365052,33566,44387
"Luzerne County, Pennsylvania",317663,28972,45053
"Lycoming County, Pennsylvania",114330,27950,14691
"McKean County, Pennsylvania",41401,27023,6172
"Mercer County, Pennsylvania",111518,27639,14470
"Mifflin County, Pennsylvania",46276,25469,6127
"Monroe County, Pennsylvania",168032,29662,18550
"Montgomery County, Pennsylvania",823823,48845,47517
"Montour County, Pennsylvania",18259,34575,1836
"Northampton County, Pennsylvania",302809,35270,25000
"Northumberland County, Pennsylvania",91761,26389,11552
"Perry County, Pennsylvania",46053,30785,4223
"Philadelphia County, Pennsylvania",1579075,27924,373727
"Pike County, Pennsylvania",55453,34589,5248
"Potter County, Pennsylvania",16806,24797,2229
"Schuylkill County, Pennsylvania",142674,27431,16816
"Snyder County, Pennsylvania",40483,27482,3983
"Somerset County, Pennsylvania",74361,25781,8559
"Sullivan County, Pennsylvania",6135,30375,782
"Susquehanna County, Pennsylvania",40970,31309,4864
"Tioga County, Pennsylvania",40944,26301,5340
"Union County, Pennsylvania",45111,27079,4258
"Venango County, Pennsylvania",51818,26969,6513
"Warren County, Pennsylvania",39756,28230,4926
"Washington County, Pennsylvania",207212,35537,18660
"Wayne County, Pennsylvania",51422,27412,5455
"Westmoreland County, Pennsylvania",352590,34274,34582
"Wyoming County, Pennsylvania",27327,29584,2764
"York County, Pennsylvania",445565,32623,41925
"Bristol County, Rhode Island",48764,46566,3357
"Kent County, Rhode Island",163869,39869,12331
"Newport County, Rhode Island",82801,47594,6908
"Providence County, Rhode Island",635737,31522,92879
"Washington County, Rhode Island",126060,42869,10351
"Abbeville County, South Carolina",24627,22646,4479
"Aiken County, South Carolina",168301,28396,24721
"Allendale County, South Carolina",9024,16985,1989
"Anderson County, South Carolina",198064,27552,28417
"Bamberg County, South Carolina",14376,18479,3156
"Barnwell County, South Carolina",21346,20297,5878
"Beaufort County, South Carolina",186095,38946,18508
"Berkeley County, South Carolina",215044,29662,25080
"Calhoun County, South Carolina",14663,26398,2990
"Charleston County, South Carolina",401165,39914,53486
"Cherokee County, South Carolina",56895,21152,10837
"Chester County, South Carolina",32311,22324,6301
"Chesterfield County, South Carolina",45953,21325,9366
"Clarendon County, South Carolina",33957,22824,7452
"Colleton County, South Carolina",37585,21377,8009
"Darlington County, South Carolina",67027,23027,13123
"Dillon County, South Carolina",30689,17605,9852
"Dorchester County, South Carolina",158299,29853,18854
"Edgefield County, South Carolina",26927,26228,3958
"Fairfield County, South Carolina",22565,23380,4651
"Florence County, South Carolina",138475,26127,24885
"Georgetown County, South Carolina",61952,31382,10968
"Greenville County, South Carolina",507003,32679,56715
"Greenwood County, South Carolina",70411,24752,14105
"Hampton County, South Carolina",19564,18424,3724
"Horry County, South Carolina",332172,28202,49007
"Jasper County, South Carolina",28657,24566,4960
"Kershaw County, South Carolina",65112,25442,9676
"Lancaster County, South Carolina",92308,30742,12058
"Laurens County, South Carolina",66846,23004,13109
"Lee County, South Carolina",17365,19300,3977
"Lexington County, South Carolina",290278,31671,35934
"McCormick County, South Carolina",9531,25617,1281
"Marion County, South Carolina",31308,20160,6973
"Marlboro County, South Carolina",26753,17456,6298
"Newberry County, South Carolina",38194,24959,6539
"Oconee County, South Carolina",77528,29844,13436
"Orangeburg County, South Carolina",87687,20716,20037
"Pickens County, South Carolina",124029,26061,19466
"Richland County, South Carolina",411357,30175,61868
"Saluda County, South Carolina",20303,22814,3014
"Spartanburg County, South Carolina",307617,27240,41995
"Sumter County, South Carolina",106757,23460,19491
"Union County, South Carolina",27490,23470,5834
"Williamsburg County, South Carolina",31324,18257,7828
"York County, South Carolina",265872,34010,27365
"Aurora County, South Dakota",2763,37086,140
"Beadle County, South Dakota",18346,27655,2910
"Bennett County, South Dakota",3425,17793,1193
"Bon Homme County, South Dakota",6929,24131,578
"Brookings County, South Dakota",34601,28330,4564
"Brown County, South Dakota",38915,33122,3950
"Brule County, South Dakota",5258,31874,683
"Buffalo County, South Dakota",2026,11995,794
"Butte County, South Dakota",10225,26961,1125
"Campbell County, South Dakota",1485,32684,59
"Charles Mix County, South Dakota",9349,22347,1716
"Clark County, South Dakota",3685,30991,325
"Clay County, South Dakota",13957,28192,2644
"Codington County, South Dakota",28026,30043,3551
"Corson County, South Dakota",4150,16449,1844
"Custer County, South Dakota",8719,33649,1164
"Davison County, South Dakota",19871,31560,2692
"Day County, South Dakota",5486,29808,893
"Deuel County, South Dakota",4318,30601,371
"Dewey County, South Dakota",5833,17504,1809
"Douglas County, South Dakota",2929,30033,178
"Edmunds County, South Dakota",3909,34628,177
"Fall River County, South Dakota",6747,27556,913
"Faulk County, South Dakota",2312,27569,332
"Grant County, South Dakota",7149,31479,643
"Gregory County, South Dakota",4186,26546,594
"Haakon County, South Dakota",2018,24333,241
"Hamlin County, South Dakota",6025,28822,332
"Hand County, South Dakota",3256,33200,262
"Hanson County, South Dakota",3399,24948,260
"Harding County, South Dakota",1306,31819,92
"Hughes County, South Dakota",17608,33677,1855
"Hutchinson County, South Dakota",7308,28872,675
"Hyde County, South Dakota",1319,34034,135
"Jackson County, South Dakota",3290,13528,1448
"Jerauld County, South Dakota",2018,42660,157
"Jones County, South Dakota",793,27139,98
"Kingsbury County, South Dakota",4944,35773,397
"Lake County, South Dakota",12717,33728,1526
"Lawrence County, South Dakota",25478,31712,3096
"Lincoln County, South Dakota",56826,40059,2303
"Lyman County, South Dakota",3848,22850,778
"McCook County, South Dakota",5548,29020,521
"McPherson County, South Dakota",2297,28559,304
"Marshall County, South Dakota",4891,32472,406
"Meade County, South Dakota",27717,28809,1847
"Mellette County, South Dakota",2052,13784,1042
"Miner County, South Dakota",2211,28381,148
"Minnehaha County, South Dakota",188674,31716,18246
"Moody County, South Dakota",6507,31300,726
"Oglala Lakota County, South Dakota",14335,10388,6569
"Pennington County, South Dakota",110685,31874,14833
"Perkins County, South Dakota",2897,33678,261
"Potter County, South Dakota",2315,32379,167
"Roberts County, South Dakota",10287,26243,2027
"Sanborn County, South Dakota",2379,32745,205
"Spink County, South Dakota",6483,35393,627
"Stanley County, South Dakota",3017,42838,140
"Sully County, South Dakota",1305,39226,103
"Todd County, South Dakota",10195,10739,5584
"Tripp County, South Dakota",5458,27036,1037
"Turner County, South Dakota",8300,30677,886
"Union County, South Dakota",15368,42411,1305
"Walworth County, South Dakota",5457,32563,519
"Yankton County, South Dakota",22717,31772,2372
"Ziebach County, South Dakota",2791,16555,1181
"Anderson County, Tennessee",76061,28455,12481
"Bedford County, Tennessee",48292,24864,6818
"Benton County, Tennessee",16140,22636,3122
"Bledsoe County, Tennessee",14836,21700,3162
"Blount County, Tennessee",129927,30548,14179
"Bradley County, Tennessee",105749,26655,16333
"Campbell County, Tennessee",39797,24212,8158
"Cannon County, Tennessee",14178,26435,2216
"Carroll County, Tennessee",27886,22394,5009
"Carter County, Tennessee",56433,23205,12079
"Cheatham County, Tennessee",40181,27893,4190
"Chester County, Tennessee",17190,22629,2524
"Claiborne County, Tennessee",31732,21566,6825
"Clay County, Tennessee",7654,18983,1969
"Cocke County, Tennessee",35552,21867,8242
"Coffee County, Tennessee",55209,26557,7613
"Crockett County, Tennessee",14399,23771,2524
"Cumberland County, Tennessee",59216,25832,8020
"Davidson County, Tennessee",687488,36440,99119
"Decatur County, Tennessee",11686,23857,2016
"DeKalb County, Tennessee",19847,25399,3564
"Dickson County, Tennessee",52680,27115,7064
"Dyer County, Tennessee",37416,27710,6788
"Fayette County, Tennessee",40164,33383,5327
"Fentress County, Tennessee",18213,20093,3649
"Franklin County, Tennessee",41725,28317,5696
"Gibson County, Tennessee",49228,23211,7600
"Giles County, Tennessee",29285,25690,4186
"Grainger County, Tennessee",23101,23595,4146
"Greene County, Tennessee",68834,25190,11119
"Grundy County, Tennessee",13344,20592,2977
"Hamblen County, Tennessee",64132,23517,10828
"Hamilton County, Tennessee",360919,32839,44952
"Hancock County, Tennessee",6587,23728,1814
"Hardeman County, Tennessee",25443,18172,3816
"Hardin County, Tennessee",25715,24243,5075
"Hawkins County, Tennessee",56611,24695,10621
"Haywood County, Tennessee",17623,21839,3267
"Henderson County, Tennessee",27977,22695,5183
"Henry County, Tennessee",32284,24124,6382
"Hickman County, Tennessee",24813,22856,4308
"Houston County, Tennessee",8164,22360,1321
"Humphreys County, Tennessee",18435,25428,2806
"Jackson County, Tennessee",11682,21037,2196
"Jefferson County, Tennessee",53679,25159,6822
"Johnson County, Tennessee",17753,22107,3892
"Knox County, Tennessee",461104,33229,65448
"Lake County, Tennessee",7401,15732,1315
"Lauderdale County, Tennessee",25989,18515,4888
"Lawrence County, Tennessee",43390,21720,7250
"Lewis County, Tennessee",12027,21516,2295
"Lincoln County, Tennessee",33924,26965,4919
"Loudon County, Tennessee",52340,31478,5845
"McMinn County, Tennessee",53053,23885,9937
"McNairy County, Tennessee",25844,20934,4783
"Macon County, Tennessee",23842,22527,4054
"Madison County, Tennessee",97625,26722,17412
"Marion County, Tennessee",28538,25467,4332
"Marshall County, Tennessee",32965,25410,4531
"Maury County, Tennessee",91976,28970,9146
"Meigs County, Tennessee",12104,24525,2006
"Monroe County, Tennessee",46064,23207,8326
"Montgomery County, Tennessee",200180,26923,26060
"Moore County, Tennessee",6378,30658,484
"Morgan County, Tennessee",21545,20204,4232
"Obion County, Tennessee",30365,23375,6267
"Overton County, Tennessee",22068,21808,3736
"Perry County, Tennessee",7962,27970,2099
"Pickett County, Tennessee",5079,24907,1001
"Polk County, Tennessee",16814,25405,2473
"Putnam County, Tennessee",77447,24946,14041
"Rhea County, Tennessee",32719,22336,6122
"Roane County, Tennessee",53075,30209,7237
"Robertson County, Tennessee",70280,29524,7983
"Rutherford County, Tennessee",315815,30159,34439
"Scott County, Tennessee",21969,20849,4687
"Sequatchie County, Tennessee",14816,23050,2874
"Sevier County, Tennessee",97068,25283,13078
"Shelby County, Tennessee",936374,30104,177675
"Smith County, Tennessee",19740,28797,3482
"Stewart County, Tennessee",13427,24113,1821
"Sullivan County, Tennessee",157050,28429,24615
"Sumner County, Tennessee",183437,33851,16277
"Tipton County, Tennessee",61447,28457,7503
"Trousdale County, Tennessee",10231,24795,947
"Unicoi County, Tennessee",17811,23455,3142
"Union County, Tennessee",19488,24010,4216
"Van Buren County, Tennessee",5760,20634,947
"Warren County, Tennessee",40702,22802,8714
"Washington County, Tennessee",127805,29656,18955
"Wayne County, Tennessee",16693,20689,2635
"Weakley County, Tennessee",33510,22755,6264
"White County, Tennessee",26800,22040,4280
"Williamson County, Tennessee",225389,52702,9776
"Wilson County, Tennessee",136666,34575,10383
"Anderson County, Texas",57810,17280,6598
"Andrews County, Texas",18036,30673,1647
"Angelina County, Texas",87322,23147,15026
"Aransas County, Texas",24462,30863,5127
"Archer County, Texas",8716,34617,1033
"Armstrong County, Texas",1973,31749,174
"Atascosa County, Texas",49528,23890,7196
"Austin County, Texas",29764,30219,3583
"Bailey County, Texas",7100,21945,590
"Bandera County, Texas",22215,29561,3455
"Bastrop County, Texas",84522,27773,9230
"Baylor County, Texas",3577,22987,406
"Bee County, Texas",32611,18340,5120
"Bell County, Texas",348574,26677,46752
"Bexar County, Texas",1952843,27834,301755
"Blanco County, Texas",11478,37998,1015
"Borden County, Texas",613,34028,16
"Bosque County, Texas",18296,26636,2823
"Bowie County, Texas",93373,27095,14534
"Brazoria County, Texas",360677,34561,30317
"Brazos County, Texas",222981,27632,50496
"Brewster County, Texas",9231,28915,1254
"Briscoe County, Texas",1457,23933,233
"Brooks County, Texas",7141,14523,2724
"Brown County, Texas",37855,27463,4545
"Burleson County, Texas",18058,30086,2095
"Burnet County, Texas",46530,30980,4661
"Caldwell County, Texas",42144,25086,7541
"Calhoun County, Texas",21668,27268,2923
"Callahan County, Texas",13856,26051,1462
"Cameron County, Texas",421666,17430,120764
"Camp County, Texas",12878,22449,2372
"Carson County, Texas",6009,34708,493
"Cass County, Texas",30059,23075,5455
"Castro County, Texas",7673,21884,1038
"Chambers County, Texas",41305,35916,4960
"Cherokee County, Texas",52118,22391,8013
"Childress County, Texas",7253,21233,799
"Clay County, Texas",10403,29159,1259
"Cochran County, Texas",2887,21463,730
"Coke County, Texas",3303,25285,398
"Coleman County, Texas",8334,27752,1135
"Collin County, Texas",973977,44548,60908
"Collingsworth County, Texas",2969,25681,493
"Colorado County, Texas",21224,29552,2080
"Comal County, Texas",141642,38991,10712
"Comanche County, Texas",13529,26728,1485
"Concho County, Texas",3266,21420,268
"Cooke County, Texas",40041,30704,5024
"Coryell County, Texas",75280,22400,7829
"Cottle County, Texas",1642,19797,505
"Crane County, Texas",4802,27893,379
"Crockett County, Texas",3484,26178,637
"Crosby County, Texas",5836,19443,1189
"Culberson County, Texas",2214,15109,653
"Dallam County, Texas",7304,27491,878
"Dallas County, Texas",2606868,32653,395812
"Dawson County, Texas",12813,20084,2840
"Deaf Smith County, Texas",18736,21616,2995
"Delta County, Texas",5249,27667,1039
"Denton County, Texas",833822,41153,62681
"DeWitt County, Texas",20340,28910,2946
"Dickens County, Texas",2203,25025,410
"Dimmit County, Texas",10438,16925,3477
"Donley County, Texas",3342,25534,447
"Duval County, Texas",11268,17637,2426
"Eastland County, Texas",18273,24548,3168
"Ector County, Texas",160579,28954,18899
"Edwards County, Texas",1918,24689,165
"Ellis County, Texas",173772,32571,15026
"El Paso County, Texas",836062,21683,165719
"Erath County, Texas",41841,27639,7305
"Falls County, Texas",17272,18745,4113
"Fannin County, Texas",34537,27112,3796
"Fayette County, Texas",25141,30170,2929
"Fisher County, Texas",3856,28750,575
"Floyd County, Texas",5803,23617,847
"Foard County, Texas",1275,27573,129
"Fort Bend County, Texas",765394,39994,56251
"Franklin County, Texas",10716,28789,988
"Freestone County, Texas",19714,24621,3260
"Frio County, Texas",19871,19256,3618
"Gaines County, Texas",20706,23533,3143
"Galveston County, Texas",332885,36819,40485
"Garza County, Texas",6070,19997,829
"Gillespie County, Texas",26459,34077,2476
"Glasscock County, Texas",1510,31830,177
"Goliad County, Texas",7565,29855,980
"Gonzales County, Texas",20731,27407,2886
"Gray County, Texas",22410,24686,3412
"Grayson County, Texas",131014,28011,16775
