Place,Population,Per Capita Income,Poverty Count
"Butts County, Georgia",24090,27195,4565
"Calhoun County, Georgia",6365,14005,1204
"Camden County, Georgia",53231,29741,7961
"Candler County, Georgia",10812,20687,3241
"Carroll County, Georgia",117183,24993,19618
"Catoosa County, Georgia",66700,27308,6516
"Charlton County, Georgia",13040,18323,2977
"Chatham County, Georgia",288496,32229,41529
"Chattahoochee County, Georgia",10560,23769,1418
"Chattooga County, Georgia",24812,18715,4415
"Cherokee County, Georgia",247515,36503,18356
"Clarke County, Georgia",126176,23827,34146
"Clay County, Georgia",2951,17036,1144
"Clayton County, Georgia",283538,20970,51525
"Clinch County, Georgia",6686,15152,2649
"Cobb County, Georgia",751218,40031,67319
"Coffee County, Georgia",43021,19905,7786
"Colquitt County, Georgia",45486,20529,11124
"Columbia County, Georgia",150705,34579,11173
"Cook County, Georgia",17177,20128,4051
"Coweta County, Georgia",143260,33875,15191
"Crawford County, Georgia",12325,23204,2430
"Crisp County, Georgia",22713,22933,7085
"Dade County, Georgia",16197,24000,2023
"Dawson County, Georgia",24536,34239,2084
"Decatur County, Georgia",26682,21568,6203
"DeKalb County, Georgia",749323,36077,111182
"Dodge County, Georgia",20829,20216,4075
"Dooly County, Georgia",13736,22716,2984
"Dougherty County, Georgia",89703,22059,24396
"Douglas County, Georgia",143316,27743,18157
"Early County, Georgia",10312,19026,3086
"Echols County, Georgia",3981,23885,960
"Effingham County, Georgia",60477,31704,5073
"Elbert County, Georgia",19166,22355,4029
"Emanuel County, Georgia",22533,19389,4785
"Evans County, Georgia",10687,20725,2730
"Fannin County, Georgia",25395,27940,3109
"Fayette County, Georgia",112303,44061,6167
"Floyd County, Georgia",97369,25776,17122
"Forsyth County, Georgia",228383,43832,12937
"Franklin County, Georgia",22766,23187,5084
"Fulton County, Georgia",1036200,47163,144224
"Gilmer County, Georgia",30414,27282,5059
"Glascock County, Georgia",2996,23541,550
"Glynn County, Georgia",84470,33848,15092
"Gordon County, Georgia",57202,24092,10186
"Grady County, Georgia",24828,22543,5490
"Greene County, Georgia",17349,37818,3353
"Gwinnett County, Georgia",915046,30636,97006
"Habersham County, Georgia",44626,23046,6381
"Hall County, Georgia",198667,29680,27432
"Hancock County, Georgia",8515,16704,1340
"Haralson County, Georgia",29227,25074,4274
"Harris County, Georgia",34105,36273,2079
"Hart County, Georgia",25773,23181,3750
"Heard County, Georgia",11736,22714,1647
